,city,cloudiness,country,humidity,latitude,longitude,max_temp,windspeed
0,Punta Arenas,0,CL,81,-53.16,-70.91,42.8,3.36
1,Hunchun,0,CN,36,42.86,130.36,57.55,3.27
2,Busselton,64,AU,77,-33.64,115.35,75.73,9.42
3,Yellowknife,90,CA,72,62.45,-114.38,15.8,11.41
4,Upernavik,8,GL,100,72.79,-56.15,3.1,13.78
5,Rikitea,76,PF,100,-23.12,-134.97,79.6,18.7
6,Qaanaaq,36,GL,79,77.48,-69.36,-4.55,7.96
7,Cidreira,36,BR,81,-30.17,-50.22,67.72,9.75
8,East London,0,ZA,88,-33.02,27.91,62.6,5.82
9,Hay River,90,CA,73,60.82,-115.79,19.4,5.82
10,Port Hedland,0,AU,16,-20.31,118.58,98.6,12.75
11,Chapais,90,CA,52,49.78,-74.86,19.4,16.11
12,Ushuaia,0,AR,61,-54.81,-68.31,46.4,2.48
13,Hobart,40,AU,30,-42.88,147.33,55.4,25.28
14,Albany,90,US,96,42.65,-73.75,32.0,8.63
15,Zhaozhou,0,CN,43,45.71,125.27,60.61,22.73
16,Mataura,0,NZ,67,-46.19,168.86,50.98,11.32
17,Nouadhibou,0,MR,87,20.93,-17.03,60.8,12.75
18,Tadine,12,NC,92,-21.55,167.88,79.6,16.35
19,Pevek,68,RU,85,69.7,170.27,27.67,13.11
20,Gat,0,SN,71,14.69,-16.54,66.82,9.75
21,Kattivakkam,40,IN,59,13.22,80.32,93.2,5.82
22,Cape Town,0,ZA,93,-33.93,18.42,53.6,1.12
23,Atuona,68,PF,100,-9.8,-139.03,81.4,19.71
24,Emerald,24,AU,43,-23.53,148.16,88.78,4.83
25,Avarua,20,CK,69,-21.21,-159.78,77.0,10.29
26,Muravlenko,68,RU,92,63.79,74.5,14.8,8.86
27,Mahibadhoo,0,MV,100,3.78,72.97,84.1,3.71
28,Kralendijk,80,BQ,78,12.15,-68.27,80.6,18.34
29,San Rafael,0,AR,83,-34.61,-68.33,50.98,6.62
30,Vila Franca do Campo,75,PT,87,37.72,-25.43,60.8,21.92
31,Hofn,92,IS,100,64.25,-15.21,40.18,16.8
32,Hadrut,92,AZ,95,39.52,47.03,36.67,2.59
33,Bluff,44,AU,41,-23.58,149.07,87.7,4.72
34,El Alto,75,BO,93,-16.5,-68.19,39.2,11.41
35,Barrow,36,AR,56,-38.31,-60.23,64.93,16.24
36,Cody,1,US,52,44.53,-109.06,42.8,6.93
37,Creel,0,MX,52,27.75,-107.63,43.51,3.04
38,Hit,0,IQ,69,33.64,42.83,64.12,8.75
39,Fairbanks,1,US,37,64.84,-147.72,37.4,10.29
40,Lavrentiya,92,RU,96,65.58,-170.99,32.53,19.82
41,Puerto Ayora,24,EC,100,-0.74,-90.35,71.86,4.5
42,At-Bashi,32,KG,48,41.17,75.81,52.33,3.6
43,Khatanga,0,RU,91,71.98,102.47,13.72,3.94
